,Area,Year,% of total country area cultivated,Arable land area,Cultivated area (arable land + permanent crops),Dependency ratio,Environmental Flow Requirements,GDP per capita,Gross Domestic Product (GDP),Groundwater produced internally,Groundwater: accounted inflow,Groundwater: entering the country (total),Long-term average annual precipitation in depth,Long-term average annual precipitation in volume,Overlap between surface water and groundwater,Overlap: between surface water and groundwater,Permanent crops area,Population density,Rural population,Surface water produced internally,Surface water: accounted flow of border rivers,Surface water: accounted inflow,Surface water: entering the country (total),Surface water: inflow not submitted to treaties,Surface water: inflow secured through treaties,Surface water: inflow submitted to treaties,Surface water: leaving the country to other countries (total),Surface water: outflow to other countries not submitted to treaties,Surface water: outflow to other countries secured through treaties,Surface water: outflow to other countries submitted to treaties,Surface water: total external renewable,Surface water: total flow of border rivers,Total area of the country (excl. coastal waters),Total internal renewable water resources (IRWR),Total internal renewable water resources per capita,Total population,Total renewable groundwater,Total renewable surface water,Total renewable water resources,Total renewable water resources per capita,Urban population,Water resources: total external renewable
18,Botswana,1980,0.6979,405.0,406.0,80.39,2.677,943.3,1010000000.0,1.7,0.0,0.0,416.0,242.0,0.1,0.1,1.0,1.85,867.2,0.8,0.8,9.84,9.04,9.04,0.0,0.0,0.6,0.6,0.0,0.0,9.84,1.6,58173.0,2.4,2230.0,1076.0,1.7,10.64,12.24,11375.0,208.8,9.84
19,Brazil,1980,6.357,47000.0,54136.0,34.53,6532.0,2221.0,282000000000.0,645.6,0.0,0.0,1761.0,14995.0,645.6,645.6,7136.0,14.91,41171.0,5661.0,0.0,2986.0,2986.0,2986.0,0.0,0.0,585.7,585.7,0.0,0.0,2986.0,0.0,851577.0,5661.0,44593.0,126947.0,645.6,8647.0,8647.0,68115.0,85776.0,2986.0
20,Brunei Darussalam,1980,1.213,3.0,7.0,0.0,5.846,20690.0,4260000000.0,0.1,0.0,0.0,2722.0,15.71,0.1,0.1,4.0,35.72,83.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,8.5,41242.0,206.1,0.1,8.5,8.5,41242.0,123.1,0.0
21,Bulgaria,1980,37.39,3818.0,4150.0,1.4080000000000001,7.771,2217.0,19800000000.0,6.4,0.0,0.0,608.0,67.48,5.5,5.5,332.0,80.47,3304.0,20.1,0.0,0.3,0.3,0.3,0.0,0.0,16.9,16.9,0.0,0.0,0.3,179.0,11099.0,21.0,2351.0,8931.0,6.4,20.4,21.3,2385.0,5627.0,0.3
22,Burkina Faso,1980,10.52,2840.0,2885.0,7.407,3.04,245.1,1750000000.0,9.5,0.0,0.0,748.0,205.1,5.0,5.0,45.0,26.1,6436.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2,15.2,0.0,0.0,1.0,0.0,27422.0,12.5,1746.0,7158.0,9.5,9.0,13.5,1886.0,722.4,1.0
23,Burundi,1980,44.92,930.0,1250.0,19.75,9.788,233.8,1010000000.0,7.47,0.0,0.0,1274.0,35.46,7.47,7.47,320.0,155.7,4129.0,10.06,2.35,2.476,0.126,0.126,0.0,0.0,7.6,7.6,0.0,0.0,2.476,4.7,2783.0,10.06,2322.0,4333.0,7.47,12.54,12.54,2894.0,203.7,2.476
26,Cameroon,1980,14.74,5910.0,7010.0,3.585,213.4,799.5,7320000000.0,100.0,0.0,0.0,1604.0,762.6,95.0,95.0,1100.0,19.26,5972.0,268.0,6.15,10.15,4.0,4.0,0.0,0.0,40.0,40.0,0.0,0.0,10.15,12.3,47544.0,273.0,29807.0,9159.0,100.0,278.1,283.1,30909.0,3187.0,10.15
29,Chad,1980,2.4530000000000003,3132.0,3150.0,67.18,25.22,177.0,834000000.0,11.5,0.0,0.0,322.0,413.4,10.0,10.0,18.0,3.6719999999999997,3810.0,13.5,0.0,30.7,30.7,30.7,0.0,0.0,10.15,10.15,0.0,0.0,30.7,0.0,128400.0,15.0,3181.0,4715.0,11.5,44.2,45.7,9692.0,904.5,30.7
30,Chile,1980,5.026,3580.0,3800.0,4.123,529.3,2095.0,24300000000.0,140.0,0.0,0.0,1522.0,1151.0,140.0,140.0,220.0,15.36,2124.0,885.0,0.0,38.06,38.06,38.06,0.0,0.0,3.15,3.15,0.0,0.0,38.06,0.0,75610.0,885.0,76188.0,11616.0,140.0,923.1,923.1,79468.0,9492.0,38.06
31,China,1980,11.03,102450.0,105899.0,0.9619,1471.0,195.0,204000000000.0,828.8,0.0,0.0,645.0,6192.0,727.9,727.9,3449.0,108.9,819496.0,2712.0,10.15,27.32,17.17,17.17,0.0,0.0,718.8,718.8,0.0,0.0,27.32,20.3,960000.0,2813.0,2690.0,1045912.0,828.8,2739.0,2840.0,2715.0,226416.0,27.32
32,Colombia,1980,4.575,3743.0,5223.0,9.11,1692.0,1342.0,39000000000.0,510.0,0.0,0.0,3240.0,3699.0,510.0,510.0,1480.0,25.42,11132.0,2145.0,0.0,215.0,215.0,215.0,0.0,0.0,1375.0,1375.0,0.0,0.0,215.0,0.0,114175.0,2145.0,73897.0,29027.0,510.0,2360.0,2360.0,81304.0,17895.0,215.0
36,Costa Rica,1980,10.02,283.0,512.0,0.0,54.4,1034.0,2610000000.0,37.31,0.0,0.0,2926.0,149.5,37.31,37.31,229.0,49.33,1433.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,9.655,9.655,0.0,0.0,0.0,0.0,5110.0,113.0,44823.0,2521.0,37.31,113.0,113.0,44823.0,1088.0,0.0
37,Cuba,1980,30.94,3050.0,3400.0,0.0,9.055,2111.0,21000000000.0,6.48,0.0,0.0,1335.0,146.7,0.0,0.0,350.0,90.33,3033.0,31.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10989.0,38.12,3840.0,9926.0,6.48,31.64,38.12,3840.0,6893.0,0.0
38,Cyprus,1980,19.24,115.0,178.0,0.0,0.0484,3122.0,2160000000.0,0.41,0.0,0.0,498.0,4.606,0.19,0.19,63.0,74.78,256.2,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,0.78,1128.0,691.7,0.41,0.56,0.78,1128.0,435.5,0.0
42,Democratic Republic of the Congo,1980,3.2710000000000004,6640.0,7670.0,29.85,981.7,492.5,13700000000.0,421.0,0.0,0.0,1543.0,3618.0,420.0,420.0,1030.0,11.82,20058.0,899.0,0.0,383.0,383.0,383.0,0.0,0.0,3.301,3.301,0.0,0.0,383.0,0.0,234486.0,900.0,32471.0,27717.0,421.0,1282.0,1283.0,46289.0,7659.0,383.0
43,Denmark,1980,61.36,2630.0,2644.0,0.0,2.302,11696.0,59900000000.0,4.3,0.0,0.0,703.0,30.29,2.0,2.0,14.0,118.9,819.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4309.0,6.0,1171.0,5123.0,4.3,3.7,6.0,1171.0,4304.0,0.0
46,Dominican Republic,1980,29.38,1075.0,1430.0,0.0,5.456,1310.0,7960000000.0,4.1610000000000005,0.0,0.0,1410.0,68.62,4.1610000000000005,4.1610000000000005,355.0,124.9,2843.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,1.015,1.015,0.0,0.0,0.0,0.0,4867.0,23.5,3866.0,6079.0,4.1610000000000005,23.5,23.5,3866.0,3236.0,0.0
47,Ecuador,1980,8.958,1552.0,2540.0,0.0,296.2,2375.0,19900000000.0,134.0,0.0,0.0,2274.0,644.8,123.6,123.6,988.0,29.6,4332.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,163.8,163.8,0.0,0.0,0.0,0.0,28356.0,442.4,52711.0,8393.0,134.0,432.0,442.4,52711.0,4061.0,0.0
48,Egypt,1980,2.441,2281.0,2445.0,98.26,2.6,551.8,25600000000.0,0.5,1.0,1.0,18.1,18.13,0.0,0.0,164.0,46.31,25756.0,0.5,0.0,55.5,84.0,0.0,55.5,84.0,0.0,0.0,0.0,0.0,55.5,0.0,100145.0,1.0,21.56,46380.0,1.5,56.0,57.5,1240.0,20624.0,56.5
49,El Salvador,1980,34.74,479.0,731.0,40.5,10.24,719.3,3400000000.0,6.15,0.0,0.0,1784.0,37.54,2.57,2.57,252.0,224.6,2560.0,12.05,0.0,10.64,10.64,10.64,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2104.0,15.63,3307.0,4726.0,6.15,22.69,26.27,5559.0,2166.0,10.64
50,Equatorial Guinea,1980,8.2,130.0,230.0,0.0,15.21,152.4,44300000.0,10.0,0.0,0.0,2156.0,60.48,9.0,9.0,100.0,10.36,220.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.0,26.0,89470.0,290.6,10.0,25.0,26.0,89470.0,70.36,0.0
51,Eswatini,1980,8.122,133.0,141.0,41.46,3.133,841.0,538000000.0,0.66,0.0,0.0,788.0,13.68,0.66,0.66,8.0,36.82,515.4,2.64,0.0,1.87,1.87,1.87,0.0,0.0,4.5,4.5,0.0,0.0,1.87,0.0,1736.0,2.64,4130.0,639.2,0.66,4.51,4.51,7056.0,123.8,1.87
54,Finland,1980,6.885,2325.0,2328.0,2.727,67.83,10927.0,52800000000.0,2.2,0.0,0.0,536.0,181.2,2.0,2.0,3.0,14.3,1294.0,106.8,0.0,3.0,3.0,3.0,0.0,0.0,27.0,27.0,0.0,0.0,3.0,0.0,33815.0,107.0,22130.0,4835.0,2.2,109.8,110.0,22751.0,3541.0,3.0
55,France,1980,34.64,17651.0,19023.0,5.212999999999999,96.77,10761.0,587000000000.0,120.0,0.0,0.0,867.0,476.1,118.0,118.0,1372.0,99.34,14538.0,198.0,0.0,11.0,11.0,11.0,0.0,0.0,18.0,18.0,0.0,0.0,11.0,33.0,54909.0,200.0,3666.0,54548.0,120.0,209.0,211.0,3868.0,40010.0,11.0
58,Germany,1980,34.92,11975.0,12464.0,30.52,81.04,9930.0,774000000000.0,45.7,0.0,0.0,700.0,249.9,45.0,45.0,489.0,218.4,20248.0,106.3,0.0,47.0,47.0,47.0,0.0,0.0,90.8,90.8,0.0,0.0,47.0,0.0,35697.0,107.0,1373.0,77945.0,45.7,153.3,154.0,1976.0,57697.0,47.0
59,Ghana,1980,15.93,2100.0,3800.0,46.09,33.26,351.3,4040000000.0,26.3,0.0,0.0,1187.0,283.1,25.0,25.0,1700.0,48.16,7856.0,29.0,0.0,25.9,25.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,23854.0,30.3,2638.0,11488.0,26.3,54.9,56.2,4892.0,3632.0,25.9
60,Greece,1980,29.94,2928.0,3951.0,15.2,18.97,5571.0,54600000000.0,10.3,0.0,0.0,652.0,86.04,7.8,7.8,1023.0,74.3,2953.0,55.5,2.8,10.4,7.6,7.6,0.0,0.0,1.8,1.8,0.0,0.0,10.4,5.6,13196.0,58.0,5916.0,9804.0,10.3,65.9,68.4,6977.0,6851.0,10.4
63,Guinea,1980,14.13,3043.0,3473.0,0.0,161.0,1744.0,8180000000.0,38.0,0.0,0.0,1651.0,405.9,38.0,38.0,430.0,19.08,3503.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2,102.2,0.0,0.0,0.0,0.0,24586.0,226.0,48177.0,4691.0,38.0,226.0,226.0,48177.0,1188.0,0.0
64,Guinea-Bissau,1980,8.94,270.0,323.0,49.04,19.7,198.8,166000000.0,14.0,0.0,0.0,1577.0,56.98,10.0,10.0,53.0,23.05,667.7,12.0,0.0,15.4,15.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,3613.0,16.0,19215.0,832.7,14.0,27.4,31.4,37709.0,165.0,15.4
65,Guyana,1980,2.303,480.0,495.0,11.07,227.2,617.0,482000000.0,103.0,0.0,0.0,2387.0,513.1,103.0,103.0,15.0,3.634,547.4,241.0,0.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,21497.0,241.0,308500.0,781.2,103.0,271.0,271.0,346902.0,233.8,30.0
68,Honduras,1980,15.73,1476.0,1769.0,1.632,57.39,742.4,2900000000.0,39.0,0.0,0.0,1976.0,222.3,29.91,29.91,293.0,34.77,2518.0,81.57,0.0,1.504,1.504,1.504,0.0,0.0,4.947,5.763999999999999,0.0,0.0,1.504,0.0,11249.0,90.66,23181.0,3911.0,39.0,83.07,92.16,23564.0,1393.0,1.504
69,Hungary,1980,56.96,5019.0,5299.0,94.23,46.1,2160.0,23100000000.0,6.0,0.0,0.0,589.0,54.79,6.0,6.0,280.0,115.2,3796.0,6.0,0.0,98.0,98.0,98.0,0.0,0.0,104.0,104.0,0.0,0.0,98.0,23.0,9303.0,6.0,559.9,10716.0,6.0,104.0,104.0,9705.0,6920.0,98.0
70,Iceland,1980,1.301,134.0,134.0,0.0,96.41,13857.0,3230000000.0,24.0,0.0,0.0,1940.0,199.8,20.0,20.0,0.0,2.265,26.3,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,170.0,728676.0,233.3,24.0,166.0,170.0,728676.0,207.0,0.0
71,India,1980,51.33,163246.0,168746.0,30.52,937.1,279.5,204000000000.0,432.0,0.0,0.0,1083.0,3560.0,390.0,390.0,5500.0,222.0,556902.0,1404.0,0.0,635.2,635.2,635.2,0.0,0.0,1385.0,1142.0,170.3,243.0,464.9,0.0,328726.0,1446.0,1981.0,729868.0,432.0,1869.0,1911.0,2618.0,172966.0,464.9
72,Indonesia,1980,13.61,18000.0,26000.0,0.0,1269.0,613.0,94700000000.0,457.4,0.0,0.0,2702.0,5163.0,411.7,411.7,8000.0,80.85,118559.0,1973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191093.0,2019.0,13067.0,154506.0,457.4,1973.0,2019.0,13067.0,35947.0,0.0
73,Iran (Islamic Republic of),1980,8.519,14141.0,14867.0,6.773,22.7,3008.0,126000000000.0,49.3,0.0,0.0,228.0,397.9,18.1,18.1,726.0,24.0,20338.0,97.3,2.315,9.335,7.77,6.2,0.82,1.57,18.67,17.5,0.79,1.17,8.545,4.63,174515.0,128.5,3068.0,41883.0,49.3,105.8,137.0,3271.0,21545.0,8.545
75,Ireland,1980,15.08,1058.0,1060.0,5.769,31.22,6134.0,21500000000.0,10.8,0.0,0.0,1118.0,78.57,10.0,10.0,2.0,49.87,1562.0,48.2,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,7028.0,49.0,13980.0,3505.0,10.8,51.2,52.0,14836.0,1943.0,3.0
77,Italy,1980,41.2,9458.0,12415.0,4.6,77.81,7511.0,426000000000.0,43.0,0.0,0.0,832.0,250.7,31.0,31.0,2957.0,188.2,18920.0,170.5,0.0,8.8,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,30134.0,182.5,3218.0,56717.0,43.0,179.3,191.3,3373.0,37797.0,8.8
79,Japan,1980,14.36,4852.0,5426.0,0.0,212.5,9363.0,1120000000000.0,27.0,0.0,0.0,1668.0,630.2,17.0,17.0,574.0,316.6,29706.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37780.0,430.0,3595.0,119616.0,27.0,420.0,430.0,3595.0,89910.0,0.0
81,Kenya,1980,7.375,3800.0,4280.0,32.57,18.57,366.3,6430000000.0,3.5,0.0,0.0,630.0,365.6,3.0,3.0,480.0,30.25,14788.0,20.2,0.0,10.0,10.0,10.0,0.0,0.0,8.9,8.9,0.0,0.0,10.0,0.0,58037.0,20.7,1179.0,17559.0,3.5,30.2,30.7,1748.0,2771.0,10.0
86,Lesotho,1980,9.618,288.0,292.0,0.0,1.315,237.4,327000000.0,0.5,0.0,0.0,788.0,23.92,0.5,0.5,4.0,45.36,1218.0,5.23,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2.992,2.208,2.208,-2.208,0.0,3036.0,5.23,3798.0,1377.0,0.5,3.022,3.022,2195.0,159.0,-2.208
91,Madagascar,1980,5.281000000000001,2570.0,3100.0,0.0,217.5,381.9,3530000000.0,55.0,0.0,0.0,1513.0,888.2,50.0,50.0,530.0,15.73,7440.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58704.0,337.0,36496.0,9234.0,55.0,332.0,337.0,36496.0,1794.0,0.0
92,Malawi,1980,18.48,2100.0,2190.0,6.597,9.529,182.0,1180000000.0,2.5,0.0,0.0,1181.0,139.9,2.5,2.5,90.0,54.73,5862.0,16.14,0.14,1.14,1.0,1.0,0.0,0.0,16.98,16.98,0.0,0.0,1.14,0.0,11848.0,16.14,2489.0,6484.0,2.5,17.28,17.28,2665.0,621.9,1.14
93,Malaysia,1980,14.65,994.8,4845.0,0.0,385.0,1852.0,26800000000.0,64.0,0.0,0.0,2875.0,951.0,50.0,50.0,3850.0,43.75,8134.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33080.0,580.0,40080.0,14471.0,64.0,566.0,580.0,40080.0,6337.0,0.0
95,Mali,1980,1.68,2013.0,2083.0,50.0,55.2,180.5,1330000000.0,20.0,0.0,0.0,282.0,349.7,10.0,10.0,70.0,5.957000000000001,6025.0,50.0,0.0,60.0,60.0,60.0,0.0,0.0,50.0,50.0,0.0,0.0,60.0,0.0,124019.0,60.0,8121.0,7388.0,20.0,110.0,120.0,16243.0,1363.0,60.0
98,Mauritania,1980,0.2464,250.0,254.0,96.49,1.222,461.7,750000000.0,0.3,0.0,0.0,92.0,94.82,0.0,0.0,4.0,1.577,1133.0,0.1,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,103070.0,0.4,246.2,1625.0,0.3,11.1,11.4,7015.0,492.1,11.0
100,Mexico,1980,10.08,17795.0,19800.0,11.53,195.3,2397.0,174000000000.0,150.0,0.0,0.0,758.0,1489.0,91.0,91.0,2005.0,36.96,23124.0,350.0,0.0,53.32,53.31,51.47,1.85,1.85,19.14,18.71,0.43200000000000005,0.43200000000000005,52.88,0.0,196438.0,409.0,5633.0,72603.0,150.0,402.9,461.9,6362.0,49479.0,52.88
103,Mongolia,1980,0.7998,1251.0,1251.0,0.0,21.18,1436.0,2550000000.0,6.1,0.0,0.0,241.0,377.0,4.0,4.0,0.0,1.137,831.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,26.4,26.4,0.0,0.0,0.0,0.0,156412.0,34.8,19573.0,1778.0,6.1,32.7,34.8,19573.0,947.0,0.0
104,Morocco,1980,18.54,7767.0,8277.0,0.0,8.167,841.8,17700000000.0,10.0,0.0,0.0,346.0,154.5,3.0,3.0,510.0,47.07,12163.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,44655.0,29.0,1380.0,21017.0,10.0,22.0,29.0,1380.0,8854.0,0.0
105,Mozambique,1980,4.041,3000.0,3230.0,53.8,133.0,291.3,3620000000.0,17.0,0.0,0.0,1032.0,825.0,14.0,14.0,230.0,15.52,10495.0,97.3,0.0,116.8,116.8,116.8,0.0,0.0,1.0,1.0,0.0,0.0,116.8,0.0,79938.0,100.3,8083.0,12409.0,17.0,214.1,217.1,17495.0,1914.0,116.8
107,Namibia,1980,0.797,655.0,657.0,84.57,7.19,2015.0,2130000000.0,2.1,0.0,0.0,285.0,234.9,0.04,0.04,2.0,1.281,785.4,4.1,22.75,33.75,11.0,10.95,0.05,0.05,9.65,9.65,0.0,0.0,33.75,53.86,82429.0,6.16,5833.0,1056.0,2.1,37.85,39.91,37794.0,270.6,33.75
109,Nepal,1980,15.77,2292.0,2321.0,5.709,95.94,153.5,2400000000.0,20.0,0.0,0.0,1500.0,220.8,20.0,20.0,29.0,106.0,14610.0,198.2,0.0,12.0,12.0,12.0,0.0,0.0,210.2,210.2,0.0,0.0,12.0,0.0,14718.0,198.2,12699.0,15607.0,20.0,210.2,210.2,13468.0,996.5,12.0
110,Netherlands,1980,19.74,790.0,820.0,87.91,38.33,10913.0,156000000000.0,4.5,0.0,0.0,778.0,32.31,4.5,4.5,30.0,344.2,4968.0,11.0,0.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,4153.0,11.0,769.5,14295.0,4.5,91.0,91.0,6366.0,9327.0,80.0
112,Nicaragua,1980,10.19,1150.0,1329.0,5.051,107.2,714.3,2450000000.0,59.0,0.0,0.0,2280.0,297.2,55.39,55.39,179.0,26.36,1703.0,152.6,0.0,8.31,8.31,8.31,0.0,0.0,0.0,0.0,0.0,0.0,8.31,0.0,13037.0,156.2,45460.0,3436.0,59.0,160.9,164.5,47875.0,1733.0,8.31
113,Niger,1980,7.782,9852.0,9860.0,89.72,10.61,318.0,2020000000.0,2.5,0.0,0.0,151.0,191.3,0.0,0.0,8.0,5.007,5488.0,1.0,1.35,30.55,29.2,29.2,0.0,0.0,32.4,32.4,0.0,0.0,30.55,2.7,126700.0,3.5,551.7,6344.0,2.5,31.55,34.05,5367.0,855.6,30.55
114,Nigeria,1980,22.33,17432.0,20632.0,22.78,157.2,663.4,51400000000.0,87.0,0.0,0.0,1150.0,1062.0,80.0,80.0,3200.0,83.87,59293.0,214.0,0.0,65.2,65.2,65.2,0.0,0.0,2.9,2.9,0.0,0.0,65.2,0.0,92377.0,221.0,2853.0,77473.0,87.0,279.2,286.2,3694.0,18180.0,65.2
116,Norway,1980,2.1830000000000003,838.0,841.0,2.799,261.5,15235.0,62600000000.0,96.0,0.0,0.0,1414.0,544.6,90.0,90.0,3.0,10.68,1199.0,376.0,0.0,11.0,11.0,11.0,0.0,0.0,10.0,10.0,0.0,0.0,11.0,0.0,38518.0,382.0,92899.0,4112.0,96.0,387.0,393.0,95574.0,2913.0,11.0
119,Pakistan,1980,42.09,33140.0,33509.0,77.71,83.79,368.2,30700000000.0,55.0,0.0,0.0,494.0,393.3,47.4,47.4,369.0,104.8,58948.0,47.4,0.0,191.8,265.1,21.5,170.3,243.6,10.72,10.72,0.0,0.0,191.8,0.0,79610.0,55.0,659.1,83446.0,55.0,239.2,246.8,2958.0,24498.0,191.8
121,Panama,1980,7.611000000000001,450.0,574.0,1.9409999999999998,4.864,2432.0,5040000000.0,21.0,0.0,0.0,2928.0,220.8,17.6,17.6,124.0,27.5,1007.0,133.2,2.7039999999999997,2.7039999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7039999999999997,5.409,7542.0,136.6,65863.0,2074.0,21.0,135.9,139.3,67165.0,1067.0,2.7039999999999997
122,Papua New Guinea,1980,1.4480000000000002,175.0,670.0,0.0,504.5,677.7,2370000000.0,211.6,0.0,0.0,3142.0,1454.0,211.6,211.6,495.0,7.551,3039.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46284.0,801.0,229185.0,3495.0,211.6,801.0,801.0,229185.0,456.0,0.0
